ori,des,free_flow_time,,,,,
59,29960,0.05,,,,,
60,29959,0.05,,,,,
60,30031,0.09,,,,,
61,27560,0.08,,,,,
62,29961,0.11,,,,,
63,29962,0.18,,,,,
63,30030,0.05,,,,,
64,30186,0.06,,,,,
65,29963,0.17,,,,,
65,30264,0.05,,,,,
66,29950,0.12,,,,,
66,29951,0.11,,,,,
66,30280,0.08,,,,,
67,29301,0.1,,,,,
68,29955,0.18,,,,,
68,29956,0.13,,,,,
69,29953,0.15,,,,,
69,30187,0.1,,,,,
70,30185,0.05,,,,,
71,27537,0.09,,,,,
72,29952,0.09,,,,,
72,30286,0.06,,,,,
73,29954,0.08,,,,,
74,30277,0.06,,,,,
75,29313,0.05,,,,,
76,29054,0.04,,,,,
76,30278,0.08,,,,,
77,30032,0.1,,,,,
77,30287,0.04,,,,,
78,29635,0.06,,,,,
78,30033,0.05,,,,,
78,30307,0.04,,,,,
79,29967,0.07,,,,,
79,29968,0.09,,,,,
79,30035,0.06,,,,,
80,30034,0.08,,,,,
80,30308,0.14,,,,,
81,28534,0.22,,,,,
81,29057,0.32,,,,,
82,6691,0.38,,,,,
82,6716,0.11,,,,,
82,29056,0.1,,,,,
83,28158,0.06,,,,,
84,6711,0.21,,,,,
84,6740,0.08,,,,,
85,29259,0.11,,,,,
86,28546,0.09,,,,,
86,29252,0.11,,,,,
86,29254,0.11,,,,,
87,29970,0.05,,,,,
87,29971,0.21,,,,,
87,30136,0.19,,,,,
88,6760,0.14,,,,,
88,6769,0.13,,,,,
89,29972,0.09,,,,,
90,29058,0.16,,,,,
90,29973,0.08,,,,,
91,6788,0.08,,,,,
92,30157,0.07,,,,,
93,27561,0.07,,,,,
94,6851,0.09,,,,,
95,30158,0.06,,,,,
96,29949,0.16,,,,,
97,30154,0.09,,,,,
98,30036,0.1,,,,,
98,30271,0.08,,,,,
99,29636,0.04,,,,,
99,30183,0.07,,,,,
100,27540,0.05,,,,,
101,27745,0.07,,,,,
102,27539,0.08,,,,,
102,27543,0.11,,,,,
102,29051,0.1,,,,,
102,29052,0.11,,,,,
103,29313,0.11,,,,,
103,30284,0.09,,,,,
104,29323,0.07,,,,,
105,29637,0.04,,,,,
105,30037,0.06,,,,,
106,29638,0.06,,,,,
106,29639,0.1,,,,,
107,29641,0.08,,,,,
107,29643,0.1,,,,,
108,29335,0.05,,,,,
109,29321,0.11,,,,,
109,29640,0.12,,,,,
110,29644,0.09,,,,,
110,29645,0.18,,,,,
110,30038,0.08,,,,,
111,29647,0.04,,,,,
111,30317,0.11,,,,,
112,29646,0.08,,,,,
112,30021,0.04,,,,,
113,28176,0.06,,,,,
114,30180,0.05,,,,,
115,30179,0.06,,,,,
116,27540,0.09,,,,,
117,29648,0.05,,,,,
117,29649,0.05,,,,,
118,29652,0.1,,,,,
118,30039,0.04,,,,,
119,29661,0.06,,,,,
120,29650,0.06,,,,,
120,29651,0.04,,,,,
120,30288,0.06,,,,,
121,29653,0.04,,,,,
121,29654,0.05,,,,,
122,29060,0.05,,,,,
123,29656,0.04,,,,,
123,29657,0.08,,,,,
124,29655,0.06,,,,,
124,29658,0.08,,,,,
125,29659,0.06,,,,,
125,30040,0.04,,,,,
126,29660,0.05,,,,,
126,30041,0.05,,,,,
127,30288,0.06,,,,,
128,29297,0.06,,,,,
129,29663,0.06,,,,,
129,30209,0.07,,,,,
130,29304,0.09,,,,,
130,30042,0.09,,,,,
131,29662,0.1,,,,,
131,29664,0.08,,,,,
131,29666,0.05,,,,,
132,29667,0.04,,,,,
132,29668,0.11,,,,,
133,30043,0.05,,,,,
133,30044,0.1,,,,,
133,30290,0.18,,,,,
134,29669,0.07,,,,,
134,30020,0.04,,,,,
135,29671,0.07,,,,,
135,30291,0.05,,,,,
136,29672,0.05,,,,,
136,30292,0.04,,,,,
137,29673,0.04,,,,,
137,29675,0.07,,,,,
137,30023,0.05,,,,,
138,29674,0.09,,,,,
138,30293,0.04,,,,,
139,29676,0.04,,,,,
139,29677,0.04,,,,,
140,29678,0.05,,,,,
140,29679,0.08,,,,,
141,29683,0.18,,,,,
141,30322,0.01,,,,,
142,29680,0.04,,,,,
142,29681,0.11,,,,,
142,29682,0.06,,,,,
143,28539,0.06,,,,,
144,30143,0.04,,,,,
145,29713,0.04,,,,,
145,29974,0.09,,,,,
145,29975,0.07,,,,,
146,29684,0.3,,,,,
146,30018,0.05,,,,,
147,28817,0.04,,,,,
147,29689,0.06,,,,,
148,29685,0.22,,,,,
148,30019,0.09,,,,,
149,29690,0.04,,,,,
149,29691,0.04,,,,,
150,29686,0.04,,,,,
150,29688,0.04,,,,,
151,28175,0.04,,,,,
151,29699,0.18,,,,,
152,29692,0.05,,,,,
152,29693,0.09,,,,,
153,27499,0.1,,,,,
154,29694,0.05,,,,,
154,29695,0.07,,,,,
155,28556,0.07,,,,,
156,29696,0.05,,,,,
156,29698,0.23,,,,,
156,30175,0.08,,,,,
157,29700,0.05,,,,,
157,29701,0.05,,,,,
158,29705,0.05,,,,,
158,29706,0.1,,,,,
159,29697,0.07,,,,,
160,29707,0.19,,,,,
160,29708,0.05,,,,,
161,29305,0.08,,,,,
162,30245,0.15,,,,,
163,29702,0.2,,,,,
163,29703,0.05,,,,,
163,30174,0.1,,,,,
164,29704,0.07,,,,,
164,30198,0.08,,,,,
165,6856,0.08,,,,,
166,29709,0.11,,,,,
166,29712,0.04,,,,,
167,29710,0.04,,,,,
167,29711,0.09,,,,,
168,29312,0.12,,,,,
168,30318,0.04,,,,,
169,30045,0.06,,,,,
169,30294,0.06,,,,,
170,29977,0.04,,,,,
170,29978,0.05,,,,,
171,29979,0.06,,,,,
171,30243,0.09,,,,,
172,29714,0.05,,,,,
172,29715,0.05,,,,,
172,29716,0.12,,,,,
172,29718,0.11,,,,,
173,6942,0.06,,,,,
174,29717,0.06,,,,,
175,29719,0.09,,,,,
175,29720,0.09,,,,,
175,29784,0.12,,,,,
176,28535,0.14,,,,,
176,29063,0.04,,,,,
176,29064,0.2,,,,,
177,29218,0.07,,,,,
178,29721,0.06,,,,,
178,29722,0.08,,,,,
178,29724,0.09,,,,,
179,29723,0.12,,,,,
179,30046,0.06,,,,,
179,30099,0.11,,,,,
180,30091,0.05,,,,,
181,30116,0.06,,,,,
182,29725,0.05,,,,,
182,29726,0.05,,,,,
183,6728,0.05,,,,,
184,29730,0.1,,,,,
184,29731,0.04,,,,,
184,29732,0.09,,,,,
185,29727,0.05,,,,,
185,29728,0.05,,,,,
185,29729,0.18,,,,,
186,29232,0.06,,,,,
187,29733,0.07,,,,,
187,30116,0.05,,,,,
188,29246,0.04,,,,,
189,30124,0.05,,,,,
190,28552,0.05,,,,,
191,29734,0.08,,,,,
191,30126,0.06,,,,,
192,30274,0.05,,,,,
193,30047,0.05,,,,,
194,29735,0.04,,,,,
194,29739,0.1,,,,,
195,29736,0.04,,,,,
195,29737,0.04,,,,,
195,29738,0.08,,,,,
196,29740,0.05,,,,,
196,29741,0.04,,,,,
196,29742,0.09,,,,,
197,29743,0.04,,,,,
197,29744,0.09,,,,,
198,28552,0.18,,,,,
198,28556,0.14,,,,,
199,28154,0.15,,,,,
199,29476,0.05,,,,,
199,29745,0.1,,,,,
200,29746,0.06,,,,,
200,29747,0.04,,,,,
201,29748,0.12,,,,,
201,30295,0.04,,,,,
202,29263,0.08,,,,,
202,29749,0.04,,,,,
203,29750,0.05,,,,,
203,29751,0.07,,,,,
204,29295,0.13,,,,,
204,29752,0.06,,,,,
204,29753,0.06,,,,,
205,29754,0.06,,,,,
205,29755,0.11,,,,,
205,29756,0.09,,,,,
206,29757,0.04,,,,,
206,29758,0.05,,,,,
206,29759,0.06,,,,,
207,29762,0.07,,,,,
207,29763,0.23,,,,,
208,29291,0.12,,,,,
209,29760,0.04,,,,,
209,29761,0.09,,,,,
210,29764,0.06,,,,,
210,29765,0.16,,,,,
210,30297,0.06,,,,,
211,29766,0.08,,,,,
211,29767,0.05,,,,,
211,29768,0.06,,,,,
212,29769,0.09,,,,,
213,29770,0.06,,,,,
213,29771,0.06,,,,,
213,29772,0.08,,,,,
214,29773,0.05,,,,,
214,29774,0.08,,,,,
215,29776,0.1,,,,,
215,29777,0.04,,,,,
216,30049,0.09,,,,,
216,30513,0.1,,,,,
217,29779,0.11,,,,,
217,30051,0.04,,,,,
218,29778,0.16,,,,,
218,29780,0.12,,,,,
218,30050,0.1,,,,,
219,29781,0.18,,,,,
219,29783,0.17,,,,,
220,29785,0.12,,,,,
220,29786,0.14,,,,,
221,29788,0.17,,,,,
221,30323,0.13,,,,,
221,30324,0.12,,,,,
222,29790,0.14,,,,,
222,30213,0.16,,,,,
223,29791,0.12,,,,,
223,29792,0.13,,,,,
223,29991,0.15,,,,,
224,6988,0.47,,,,,
225,28527,0.43,,,,,
226,27535,0.29,,,,,
227,27533,0.36,,,,,
228,28584,0.39,,,,,
229,28525,0.27,,,,,
229,29627,0.2,,,,,
230,29224,0.09,,,,,
231,30052,0.06,,,,,
231,30298,0.05,,,,,
232,29794,0.05,,,,,
232,29795,0.11,,,,,
233,29797,0.07,,,,,
233,29799,0.21,,,,,
233,30118,0.11,,,,,
234,29796,0.08,,,,,
234,29798,0.13,,,,,
235,29800,0.08,,,,,
235,29801,0.07,,,,,
235,30279,0.08,,,,,
236,29807,0.05,,,,,
236,30053,0.08,,,,,
237,29802,0.13,,,,,
237,29803,0.05,,,,,
238,29804,0.05,,,,,
238,29805,0.11,,,,,
239,29798,0.06,,,,,
240,29812,0.08,,,,,
240,30055,0.05,,,,,
241,29806,0.04,,,,,
241,30054,0.13,,,,,
242,29808,0.05,,,,,
242,29809,0.09,,,,,
242,30299,0.05,,,,,
243,29810,0.11,,,,,
243,30344,0.05,,,,,
244,29814,0.05,,,,,
244,29815,0.15,,,,,
244,29816,0.18,,,,,
244,30056,0.09,,,,,
245,29811,0.12,,,,,
245,29812,0.11,,,,,
245,29813,0.07,,,,,
246,6779,0.09,,,,,
247,6806,0.08,,,,,
248,29819,0.06,,,,,
249,28558,0.07,,,,,
250,29817,0.05,,,,,
250,29818,0.1,,,,,
251,28559,0.07,,,,,
252,27598,0.12,,,,,
253,6806,0.18,,,,,
253,29990,0.07,,,,,
254,30283,0.06,,,,,
254,30319,0.16,,,,,
255,30320,0.24,,,,,
255,30343,0.04,,,,,
256,29989,0.08,,,,,
256,30148,0.15,,,,,
257,6796,0.19,,,,,
257,29988,0.1,,,,,
258,29291,0.09,,,,,
258,29981,0.13,,,,,
258,29982,0.12,,,,,
259,29983,0.2,,,,,
259,30282,0.05,,,,,
260,30057,0.26,,,,,
260,30194,0.05,,,,,
261,29986,0.11,,,,,
261,29987,0.15,,,,,
262,29980,0.18,,,,,
262,30325,0.04,,,,,
263,29285,0.06,,,,,
264,29311,0.07,,,,,
264,30193,0.08,,,,,
265,29824,0.07,,,,,
265,30199,0.09,,,,,
266,29820,0.28,,,,,
266,29821,0.05,,,,,
266,29822,0.07,,,,,
266,29823,0.07,,,,,
267,29317,0.11,,,,,
268,29229,0.23,,,,,
269,29825,0.1,,,,,
269,29826,0.09,,,,,
269,29827,0.1,,,,,
269,29834,0.05,,,,,
270,29828,0.07,,,,,
270,30058,0.15,,,,,
271,29831,0.09,,,,,
271,29832,0.16,,,,,
271,29833,0.06,,,,,
272,29829,0.08,,,,,
272,29830,0.13,,,,,
273,29835,0.07,,,,,
273,29836,0.05,,,,,
273,29837,0.05,,,,,
273,30300,0.06,,,,,
274,29841,0.09,,,,,
274,30059,0.04,,,,,
275,29840,0.06,,,,,
275,30060,0.04,,,,,
276,29839,0.04,,,,,
276,29844,0.25,,,,,
277,29838,0.04,,,,,
277,29843,0.24,,,,,
278,30061,0.05,,,,,
278,30269,0.04,,,,,
279,29847,0.04,,,,,
279,29848,0.05,,,,,
279,29849,0.11,,,,,
280,29845,0.05,,,,,
280,29850,0.08,,,,,
281,29851,0.21,,,,,
281,29852,0.04,,,,,
282,29260,0.1,,,,,
282,29846,0.06,,,,,
283,29853,0.05,,,,,
283,29854,0.11,,,,,
284,29857,0.1,,,,,
284,29860,0.24,,,,,
284,30302,0.09,,,,,
285,29858,0.06,,,,,
285,29859,0.06,,,,,
285,29861,0.16,,,,,
286,30062,0.05,,,,,
286,30063,0.09,,,,,
287,29856,0.19,,,,,
287,30301,0.09,,,,,
288,29863,0.09,,,,,
288,29864,0.13,,,,,
288,29865,0.08,,,,,
289,29862,0.09,,,,,
289,30312,0.04,,,,,
290,29282,0.09,,,,,
291,29866,0.09,,,,,
291,29867,0.07,,,,,
291,29868,0.18,,,,,
292,29869,0.06,,,,,
292,29870,0.23,,,,,
293,30168,0.08,,,,,
294,29871,0.05,,,,,
294,29872,0.1,,,,,
294,29874,0.08,,,,,
295,29873,0.06,,,,,
295,30265,0.11,,,,,
296,29876,0.08,,,,,
296,29877,0.06,,,,,
297,29875,0.07,,,,,
297,30196,0.09,,,,,
298,6878,0.22,,,,,
299,29338,0.22,,,,,
299,29341,0.16,,,,,
300,6951,0.32,,,,,
301,29342,0.06,,,,,
301,29343,0.09,,,,,
302,6987,0.13,,,,,
303,6699,0.15,,,,,
304,6699,0.16,,,,,
304,29878,0.15,,,,,
305,30112,0.07,,,,,
306,29879,0.06,,,,,
306,29880,0.08,,,,,
307,29241,0.06,,,,,
308,29881,0.06,,,,,
308,30112,0.07,,,,,
309,29243,0.08,,,,,
309,29882,0.06,,,,,
310,29228,0.16,,,,,
310,29885,0.12,,,,,
310,30064,0.11,,,,,
311,29887,0.1,,,,,
311,30065,0.06,,,,,
312,29883,0.09,,,,,
312,30113,0.09,,,,,
313,29884,0.06,,,,,
313,29886,0.09,,,,,
313,30122,0.12,,,,,
314,29888,0.08,,,,,
314,29889,0.09,,,,,
314,30321,0.13,,,,,
315,30113,0.09,,,,,
315,30114,0.09,,,,,
316,30140,0.11,,,,,
316,30141,0.09,,,,,
317,29890,0.07,,,,,
317,29891,0.11,,,,,
317,30066,0.14,,,,,
318,29893,0.08,,,,,
318,29894,0.26,,,,,
319,30164,0.06,,,,,
320,28152,0.11,,,,,
320,29892,0.08,,,,,
321,29280,0.09,,,,,
321,29895,0.07,,,,,
322,29897,0.04,,,,,
322,29898,0.09,,,,,
323,29896,0.08,,,,,
323,29899,0.11,,,,,
324,29900,0.05,,,,,
324,29904,0.11,,,,,
325,29901,0.12,,,,,
325,29902,0.07,,,,,
326,29289,0.08,,,,,
327,30163,0.05,,,,,
328,29905,0.05,,,,,
328,29906,0.05,,,,,
328,29909,0.04,,,,,
329,29903,0.07,,,,,
329,29907,0.11,,,,,
329,29908,0.11,,,,,
330,6867,0.34,,,,,
330,6950,0.31,,,,,
331,29333,0.22,,,,,
331,29340,0.21,,,,,
332,6950,0.1,,,,,
333,29326,0.11,,,,,
334,29910,0.15,,,,,
334,29911,0.04,,,,,
334,30067,0.06,,,,,
335,30089,0.13,,,,,
336,29912,0.12,,,,,
336,29913,0.11,,,,,
337,29919,0.06,,,,,
338,29220,0.1,,,,,
339,29914,0.07,,,,,
340,29261,0.12,,,,,
341,29920,0.04,,,,,
341,29921,0.13,,,,,
342,29916,0.09,,,,,
342,29918,0.17,,,,,
343,29915,0.12,,,,,
343,29917,0.09,,,,,
344,6733,0.06,,,,,
345,29269,0.1,,,,,
345,30022,0.06,,,,,
346,29922,0.14,,,,,
346,30326,0.1,,,,,
347,29923,0.1,,,,,
347,29924,0.08,,,,,
348,29261,0.06,,,,,
349,29269,0.07,,,,,
350,6827,0.15,,,,,
350,29925,0.07,,,,,
351,29277,0.17,,,,,
351,29477,0.16,,,,,
352,29277,0.09,,,,,
353,6777,0.15,,,,,
353,28165,0.13,,,,,
354,29926,0.16,,,,,
354,30068,0.07,,,,,
355,29927,0.06,,,,,
355,30000,0.17,,,,,
356,28167,0.04,,,,,
357,6765,0.27,,,,,
357,6810,0.27,,,,,
357,30003,0.04,,,,,
357,30069,0.24,,,,,
357,30070,0.27,,,,,
358,30001,0.09,,,,,
358,30002,0.26,,,,,
359,29278,0.07,,,,,
359,29281,0.1,,,,,
360,6853,0.22,,,,,
360,29929,0.1,,,,,
361,29277,0.08,,,,,
362,29928,0.08,,,,,
362,30071,0.11,,,,,
363,6818,0.14,,,,,
363,30303,0.08,,,,,
364,27586,0.12,,,,,
364,30072,0.15,,,,,
364,30074,0.12,,,,,
365,29930,0.08,,,,,
365,30192,0.08,,,,,
366,30073,0.08,,,,,
366,30182,0.08,,,,,
367,29294,0.17,,,,,
367,29931,0.08,,,,,
367,30304,0.13,,,,,
368,30152,0.06,,,,,
369,29275,0.1,,,,,
369,30305,0.06,,,,,
370,29933,0.1,,,,,
370,30309,0.17,,,,,
371,29932,0.06,,,,,
371,30306,0.05,,,,,
372,29934,0.08,,,,,
372,29938,0.06,,,,,
373,29939,0.06,,,,,
373,30075,0.06,,,,,
374,30190,0.08,,,,,
375,29941,0.05,,,,,
375,29942,0.04,,,,,
376,29944,0.04,,,,,
376,29945,0.14,,,,,
377,6880,0.14,,,,,
377,29946,0.14,,,,,
378,30975,0.07,,,,,
379,29947,0.04,,,,,
380,29948,0.08,,,,,
381,6693,0.12,,,,,
382,29067,0.11,,,,,
382,29247,0.08,,,,,
383,27513,0.12,,,,,
383,29247,0.16,,,,,
384,6765,0.27,,,,,
384,6766,0.24,,,,,
384,6805,0.29,,,,,
385,6810,0.16,,,,,
386,30967,0.05,,,,,
387,29292,0.15,,,,,
388,30968,0.15,,,,,
389,6841,0.25,,,,,
390,6862,0.18,,,,,
391,29068,0.19,,,,,
391,29222,0.19,,,,,
392,29069,0.09,,,,,
392,29222,0.14,,,,,
393,6738,0.15,,,,,
393,29069,0.15,,,,,
394,6766,0.21,,,,,
394,29266,0.08,,,,,
395,29070,0.1,,,,,
395,29264,0.1,,,,,
396,6850,0.12,,,,,
397,6750,0.16,,,,,
398,29257,0.07,,,,,
399,29255,0.26,,,,,
399,29267,0.18,,,,,
400,27593,0.12,,,,,
400,29265,0.17,,,,,
401,27732,0.26,,,,,
401,31124,0.05,,,,,
402,28601,0.27,,,,,
403,30963,0.17,,,,,
404,6662,0.15,,,,,
405,28563,0.24,,,,,
406,8354,0.17,,,,,
407,6686,0.17,,,,,
408,27591,0.14,,,,,
409,6743,0.14,,,,,
410,6714,0.14,,,,,
411,27592,0.07,,,,,
412,29472,0.14,,,,,
413,27737,0.22,,,,,
413,28603,0.65,,,,,
413,29626,0.41,,,,,
414,28602,0.06,,,,,
415,6638,0.54,,,,,
415,6700,0.58,,,,,
416,6638,0.3,,,,,
417,6646,0.08,,,,,
418,8929,0.48,,,,,
419,7077,0.42,,,,,
420,29352,0.12,,,,,
421,8921,0.25,,,,,
421,29350,0.27,,,,,
422,7134,0.41,,,,,
423,31001,0.05,,,,,
424,7028,0.09,,,,,
425,7016,0.17,,,,,
426,30739,0.11,,,,,
427,7025,0.1,,,,,
428,30738,0.12,,,,,
429,7058,0.08,,,,,
430,7052,0.11,,,,,
431,29351,0.34,,,,,
432,7020,0.05,,,,,
433,7012,0.04,,,,,
434,6981,0.07,,,,,
435,7064,0.07,,,,,
436,27496,0.29,,,,,
437,31000,0.03,,,,,
438,31002,0.06,,,,,
439,7053,0.04,,,,,
440,8932,0.28,,,,,
441,7116,0.15,,,,,
442,7104,0.58,,,,,
443,7161,0.2,,,,,
444,27595,0.15,,,,,
445,11290,0.35,,,,,
446,30734,0.08,,,,,
447,30735,0.08,,,,,
448,30996,0.06,,,,,
449,30737,0.1,,,,,
450,6994,0.3,,,,,
451,6932,0.21,,,,,
452,28518,0.06,,,,,
453,28517,0.15,,,,,
454,30736,0.05,,,,,
455,30804,0.11,,,,,
456,30976,0.16,,,,,
457,30995,0.08,,,,,
458,30982,0.06,,,,,
459,7014,0.11,,,,,
460,30980,0.05,,,,,
461,31003,0.11,,,,,
462,7036,0.07,,,,,
463,7911,0.2,,,,,
464,6836,0.19,,,,,
465,6834,0.07,,,,,
466,11290,0.22,,,,,
466,11305,0.41,,,,,
467,30731,0.12,,,,,
468,30730,0.33,,,,,
469,30729,0.1,,,,,
470,29339,0.15,,,,,
471,7845,0.11,,,,,
472,27515,0.2,,,,,
473,30990,0.06,,,,,
474,11292,0.07,,,,,
475,6972,0.27,,,,,
476,30733,0.12,,,,,
477,31025,0.12,,,,,
478,7062,0.2,,,,,
479,7101,0.34,,,,,
479,29345,0.46,,,,,
480,8869,0.09,,,,,
481,31019,0.18,,,,,
482,30972,0.12,,,,,
483,31020,0.14,,,,,
484,6812,0.24,,,,,
485,8800,0.07,,,,,
486,31021,0.09,,,,,
487,30805,0.1,,,,,
488,6997,0.13,,,,,
489,8871,0.2,,,,,
490,6958,0.14,,,,,
491,31004,0.21,,,,,
492,30992,0.19,,,,,
493,11288,0.28,,,,,
494,30993,0.12,,,,,
495,30983,0.1,,,,,
496,30985,0.05,,,,,
497,30732,0.14,,,,,
498,8870,0.13,,,,,
499,30991,0.12,,,,,
500,7156,0.45,,,,,
501,7191,0.2,,,,,
502,20632,0.09,,,,,
503,7156,0.58,,,,,
504,20627,0.68,,,,,
505,20630,0.17,,,,,
505,29349,0.44,,,,,
506,31347,0.8,,,,,
507,27742,0.1,,,,,
508,30949,0.09,,,,,
509,27739,0.19,,,,,
510,27741,0.2,,,,,
511,28050,0.23,,,,,
511,28509,0.48,,,,,
511,30646,0.33,,,,,
512,30952,0.16,,,,,
513,14087,0.18,,,,,
514,31063,0.22,,,,,
515,6512,0.12,,,,,
516,14088,0.16,,,,,
517,28506,0.22,,,,,
518,30654,0.06,,,,,
519,30647,0.14,,,,,
520,30950,0.12,,,,,
521,30653,0.29,,,,,
522,16471,0.34,,,,,
523,16472,0.38,,,,,
524,30786,0.24,,,,,
525,16474,0.16,,,,,
526,30806,0.18,,,,,
527,28185,0.18,,,,,
528,6345,0.24,,,,,
528,31101,0.81,,,,,
529,28184,0.14,,,,,
530,6486,0.33,,,,,
531,27634,0.34,,,,,
532,30785,0.2,,,,,
533,30937,0.1,,,,,
534,30938,0.14,,,,,
535,30941,0.16,,,,,
536,30787,0.13,,,,,
537,6576,0.12,,,,,
538,6558,0.09,,,,,
539,6537,0.13,,,,,
540,6528,0.07,,,,,
541,28504,0.22,,,,,
542,6541,0.17,,,,,
543,6555,0.15,,,,,
544,6577,0.12,,,,,
545,6429,0.18,,,,,
546,30651,0.17,,,,,
547,30807,0.12,,,,,
548,31042,0.31,,,,,
549,16475,0.17,,,,,
550,30652,0.14,,,,,
551,27639,0.17,,,,,
552,6598,0.21,,,,,
553,6580,0.45,,,,,
554,6572,0.16,,,,,
555,30958,0.13,,,,,
556,31043,0.15,,,,,
557,30959,0.11,,,,,
558,28245,0.15,,,,,
559,6660,0.26,,,,,
560,6613,0.19,,,,,
561,30962,0.21,,,,,
562,6356,0.33,,,,,
563,6391,0.31,,,,,
564,6382,0.17,,,,,
565,30931,0.16,,,,,
566,30930,0.25,,,,,
567,6433,0.28,,,,,
568,30936,0.15,,,,,
569,16481,0.25,,,,,
570,13038,0.17,,,,,
571,27640,0.26,,,,,
572,27637,0.1,,,,,
573,6473,0.17,,,,,
574,6432,0.24,,,,,
575,6587,0.14,,,,,
576,30784,0.14,,,,,
577,28522,0.28,,,,,
578,6548,0.35,,,,,
579,30783,0.18,,,,,
580,30943,0.17,,,,,
581,6543,0.17,,,,,
582,30940,0.17,,,,,
583,6549,0.17,,,,,
584,6671,0.19,,,,,
585,28520,0.05,,,,,
586,13027,0.71,,,,,
587,6401,0.31,,,,,
588,30929,0.1,,,,,
589,6432,0.96,,,,,
589,6480,1.37,,,,,
589,8352,0.88,,,,,
590,30356,0.23,,,,,
591,30961,0.1,,,,,
592,30951,0.11,,,,,
593,8729,0.17,,,,,
594,6612,0.09,,,,,
595,31013,0.22,,,,,
596,30956,0.19,,,,,
597,8730,0.26,,,,,
598,28247,0.2,,,,,
599,30955,0.12,,,,,
600,29214,0.19,,,,,
601,6611,0.09,,,,,
602,30957,0.17,,,,,
603,30782,0.26,,,,,
604,30935,0.3,,,,,
605,6427,0.15,,,,,
606,30766,0.11,,,,,
607,6446,0.13,,,,,
608,30765,0.16,,,,,
609,13056,0.06,,,,,
610,31028,0.13,,,,,
611,30764,0.08,,,,,
612,30808,0.03,,,,,
613,6431,0.16,,,,,
614,30945,0.16,,,,,
615,6488,0.18,,,,,
616,6489,0.12,,,,,
617,30946,0.19,,,,,
618,6573,0.42,,,,,
619,30720,0.19,,,,,
620,11294,0.22,,,,,
621,30719,0.28,,,,,
622,8787,0.37,,,,,
623,11249,0.19,,,,,
623,30395,0.18,,,,,
624,31023,0.15,,,,,
625,30718,0.23,,,,,
626,11247,0.2,,,,,
627,6763,0.16,,,,,
628,31015,0.13,,,,,
629,30726,0.12,,,,,
630,31014,0.09,,,,,
631,30725,0.15,,,,,
632,11254,0.18,,,,,
633,30722,0.15,,,,,
634,30721,0.13,,,,,
635,8731,0.33,,,,,
636,8787,0.41,,,,,
637,6762,0.2,,,,,
638,30969,0.12,,,,,
639,11280,0.06,,,,,
640,30403,0.2,,,,,
641,8791,0.29,,,,,
642,30987,0.11,,,,,
643,30727,0.13,,,,,
644,30986,0.11,,,,,
645,31016,0.12,,,,,
646,30724,0.11,,,,,
647,6407,0.16,,,,,
648,6419,0.14,,,,,
649,13052,0.34,,,,,
649,30360,0.16,,,,,
650,29212,0.31,,,,,
651,11239,0.78,,,,,
652,29388,0.37,,,,,
653,6794,0.34,,,,,
654,11125,0.38,,,,,
655,30978,0.11,,,,,
656,30723,0.09,,,,,
657,30809,0.26,,,,,
658,30977,0.16,,,,,
659,6913,0.15,,,,,
660,6943,0.18,,,,,
661,6389,0.55,,,,,
661,11193,0.66,,,,,
662,6466,0.25,,,,,
663,13052,0.26,,,,,
664,6520,0.48,,,,,
665,11233,0.37,,,,,
